#,CPU-T,ACC-T,CPU-A,ACC-A,CPU-W,ACC-W,CPU-Time,ACC-Time,CPU Throughput (B/s),ACC Throughput (B/s),CPU-Energy (J),ACC-Energy (J),Total Time,Total Enegy (J),CPU MB/s,ACC MB/s,CPU Power (W),ACC Power (W),Total Power (W),Total Throughput (MB/s),Power Efficiency,,Lowest Time,Lowest Energy,highest throughput,Highest Power Efficiency,,CPU Input Size,ACC Input Size,Total Size
1,12,60,none,balanced,2.5,97.5,0.1052484,1.635462,772379600,1937338000,7.838498,410.4466,1.635462,418.2852,7.72E+02,1.94E+03,74.47617256,250.9667605,325.442933,1987.04,18.09,,0.5155118,300.6579237,6303.90,44.97,,8.13E+07,3.17E+09,3.25E+09
2,12,60,none,balanced,5,95,0.18407,1.64321,897756200,1878888000,14.2268,416.0396,1.64321,430.2662,8.98E+02,1.88E+03,77.29016135,253.1871155,330.4772768,1977.67,19.04,,Item Location,,,,,1.65E+08,3.09E+09,
3,12,60,none,balanced,7.5,92.5,0.2222362,1.593206,1096850000,1886858000,18.07174,403.6922,1.593206,421.764,1.10E+03,1.89E+03,81.31771512,253.3835549,334.70127,2039.75,20.94,,2458,1289,2458,4004,,2.44E+08,3.01E+09,
4,12,60,none,balanced,10,90,0.290988,1.59792,1119260000,1832238000,24.89944,404.9286,1.59792,429.8278,1.12E+03,1.83E+03,85.56861451,253.4098078,338.9784223,2033.73,20.31,,,,,,,3.26E+08,2.93E+09,
5,12,60,none,balanced,12.5,87.5,0.346183,1.547456,1181607400,1837552000,29.48284,391.9936,1.547456,421.4766,1.18E+03,1.84E+03,85.16547606,253.31486,338.4803361,2100.05,21.13,,,,,,,4.09E+08,2.84E+09,
6,12,60,none,balanced,15,85,0.4040422,1.520634,1206596000,1816404000,32.63222,383.5402,1.520634,416.1724,1.21E+03,1.82E+03,80.7643855,252.223875,332.9882605,2137.09,22.14,,,,,,,4.88E+08,2.76E+09,
7,12,60,none,balanced,17.5,82.5,0.4530366,1.486748,1255280000,1803700000,36.23802,372.7854,1.486748,409.0236,1.26E+03,1.80E+03,79.98916644,250.7387937,330.7279601,2185.80,22.89,,,,,,,5.69E+08,2.68E+09,
8,12,60,none,balanced,20,80,0.5100054,1.47497,1274396000,1763218000,43.2957,374.8094,1.47497,418.1052,1.27E+03,1.76E+03,84.89263055,254.1132362,339.0058668,2203.25,21.95,,,,,,,6.50E+08,2.60E+09,
9,12,60,none,balanced,22.5,77.5,0.5704906,1.407568,1281742000,1789830000,48.3813,356.499,1.407568,404.8806,1.28E+03,1.79E+03,84.8064806,253.2730213,338.0795019,2308.76,22.18,,,,,,,7.31E+08,2.52E+09,
10,12,60,none,balanced,25,75,0.6233768,1.40237,1303220000,1738162000,53.37346,351.9532,1.40237,405.3266,1.30E+03,1.74E+03,85.61990116,250.970286,336.5901872,2317.32,22.15,,,,,,,8.12E+08,2.44E+09,
11,12,60,none,balanced,27.5,72.5,0.6780092,1.345998,1318022000,1750668000,60.63598,335.9216,1.345998,396.5576,1.32E+03,1.75E+03,89.43238528,249.5706532,339.0030384,2414.37,21.75,,,,,,,8.94E+08,2.36E+09,
12,12,60,none,balanced,30,70,0.734593,1.302684,1327500000,1747158000,64.4079,325.0032,1.302684,389.4112,1.33E+03,1.75E+03,87.67834706,249.4873661,337.1657131,2494.65,22.14,,,,,,,9.75E+08,2.28E+09,
13,12,60,none,balanced,32.5,67.5,0.7933102,1.285002,1331318000,1707780000,68.52154,319.0076,1.285002,387.529,1.33E+03,1.71E+03,86.37420772,248.2545552,334.628763,2528.97,22.29,,,,,,,1.06E+09,2.19E+09,
14,12,60,none,balanced,35,65,0.8556644,1.236674,1329248000,1708414000,70.59966,309.0904,1.236674,379.6902,1.33E+03,1.71E+03,82.50858631,249.9368467,332.445433,2627.80,22.95,,,,,,,1.14E+09,2.11E+09,
15,12,60,none,balanced,37.5,62.5,0.9133944,1.231624,1334300000,1650420000,76.9758,307.9716,1.231624,384.9472,1.33E+03,1.65E+03,84.27443829,250.053263,334.3277013,2638.58,22.43,,,,,,,1.22E+09,2.03E+09,
16,12,60,none,balanced,40,60,0.9761192,1.207244,1331686000,1615146000,82.5828,301.8916,1.207244,384.4744,1.33E+03,1.62E+03,84.60319191,250.0667636,334.6699555,2691.86,22.20,,,,,,,1.30E+09,1.95E+09,
17,12,60,none,balanced,42.5,57.5,1.044278,1.179058,1324070000,1586560000,91.35334,292.7448,1.179058,384.0982,1.32E+03,1.59E+03,87.47990478,248.2870224,335.7669271,2756.21,21.53,,,,,,,1.38E+09,1.87E+09,
18,12,60,none,balanced,45,55,1.0665456,1.1329,1374416000,1579000000,92.97278,279.6978,1.133506,372.6708,1.37E+03,1.58E+03,87.17187526,246.8865743,334.0584495,2866.98,22.16,,,,,,,1.47E+09,1.79E+09,
19,12,60,none,balanced,47.5,52.5,1.126802,1.098224,1370504000,1554014000,99.42434,271.578,1.138356,371.0022,1.37E+03,1.55E+03,88.23585688,247.2883492,335.5242061,2854.76,21.82,,,,,,,1.54E+09,1.71E+09,
20,12,60,none,balanced,50,50,1.189786,1.084842,1365656000,1498838000,103.3976,269.5916,1.189786,372.9892,1.37E+03,1.50E+03,86.90436768,248.507709,335.4120766,2731.36,21.75,,,,,,,1.62E+09,1.63E+09,
21,12,60,none,balanced,52.5,47.5,1.276748,1.048376,1336258000,1473144000,107.7264,263.8354,1.276748,371.5618,1.34E+03,1.47E+03,84.3756168,251.6610453,336.0366621,2545.32,21.69,,,,,,,1.71E+09,1.54E+09,
22,12,60,none,balanced,55,45,1.304368,1.0057164,1371688000,1454252000,111.192,255.2364,1.304368,366.4286,1.37E+03,1.45E+03,85.24588153,253.7856597,339.0315412,2491.42,21.82,,,,,,,1.79E+09,1.46E+09,
23,12,60,none,balanced,57.5,42.5,1.30087,0.9578742,1438678000,1443334000,118.3812,240.2026,1.30087,358.5836,1.44E+03,1.44E+03,91.00156049,250.7663324,341.7678929,2498.12,21.57,,,,,,,1.87E+09,1.38E+09,
24,12,60,none,balanced,60,40,1.443056,0.897422,1351894000,1448678000,128.3692,225.3532,1.443056,353.722,1.35E+03,1.45E+03,88.95649233,251.1117401,340.0682324,2251.98,20.97,,,,,,,1.95E+09,1.30E+09,
25,12,60,none,balanced,62.5,37.5,1.507968,0.8585022,1348058000,1419910000,133.7804,216.587,1.507968,350.3674,1.35E+03,1.42E+03,88.71567566,252.284735,341.0004106,2155.04,20.82,,,,,,,2.03E+09,1.22E+09,
26,12,60,none,balanced,65,35,1.455758,0.810996,1451232000,1403262000,134.476,203.8744,1.455758,338.3502,1.45E+03,1.40E+03,92.37524369,251.3876764,343.7629201,2232.33,21.29,,,,,,,2.11E+09,1.14E+09,
27,12,60,none,balanced,67.5,32.5,1.654394,0.7581532,1326278000,1393470000,145.6428,191.9892,1.654394,337.6322,1.33E+03,1.39E+03,88.03392662,253.2327239,341.2666506,1964.30,20.57,,,,,,,2.19E+09,1.06E+09,
28,12,60,none,balanced,70,30,1.620422,0.721349,1405348000,1352586000,144.3944,181.3178,1.620422,325.7122,1.41E+03,1.35E+03,89.1091333,251.3593281,340.4684614,2005.49,21.15,,,,,,,2.28E+09,9.76E+08,
29,12,60,none,balanced,72.5,27.5,1.574594,0.6903282,1497508000,1295422000,147.6444,174.2036,1.574594,321.8478,1.50E+03,1.30E+03,93.76664715,252.3489552,346.1156023,2063.86,21.10,,,,,,,2.36E+09,8.94E+08,
30,12,60,none,balanced,75,25,1.70875,0.6164076,1431084000,1318314000,157.6242,152.4602,1.70875,310.084,1.43E+03,1.32E+03,92.24532553,247.3366649,339.5819904,1901.82,20.84,,,,,,,2.45E+09,8.13E+08,
31,12,60,none,balanced,77.5,22.5,1.761414,0.5789712,1431668000,1264974000,161.3102,142.555,1.761414,303.8652,1.43E+03,1.26E+03,91.57994657,246.2212283,337.8011748,1844.96,20.77,,,,,,,2.52E+09,7.32E+08,
32,12,60,none,balanced,80,20,1.681502,0.5464762,1548598000,1190898000,166.4006,134.5736,1.681502,300.9742,1.55E+03,1.19E+03,98.95950168,246.2570191,345.2165207,1932.64,20.48,,,,,,,2.60E+09,6.51E+08,
33,12,60,none,balanced,82.5,17.5,1.762116,0.4727548,1522836000,1203462000,169.6202,114.769,1.762116,284.389,1.52E+03,1.20E+03,96.2593836,242.7664404,339.0258241,1844.22,20.78,,,,,,,2.68E+09,5.69E+08,
34,12,60,none,balanced,85,15,1.70352,0.4272452,1624382000,1141130000,172.9938,101.7768,1.70352,274.7704,1.62E+03,1.14E+03,101.550789,238.2163685,339.7671574,1907.66,20.79,,,,,,,2.77E+09,4.88E+08,
35,12,60,none,balanced,87.5,12.5,1.845504,0.3757454,1542254000,1082342000,185.9614,88.30926,1.845504,274.2708,1.54E+03,1.08E+03,100.7645608,235.0241946,335.7887554,1760.89,19.91,,,,,,,2.85E+09,4.07E+08,
36,12,60,none,balanced,90,10,1.796956,0.31932,1631276000,1017938800,184.7748,74.70016,1.796956,259.4748,1.63E+03,1.02E+03,102.8265578,233.9351121,336.7616699,1808.47,20.22,,,,,,,2.93E+09,3.25E+08,
37,12,60,none,balanced,92.5,7.5,1.831514,0.2762206,1645686000,885187000,184.3048,63.7589,1.831514,248.0638,1.65E+03,8.85E+02,100.6297522,230.8260137,331.4557659,1774.34,20.19,,,,,,,3.01E+09,2.45E+08,
38,12,60,none,balanced,95,5,1.791516,0.2369514,1730036000,689961600,192.4924,54.4347,1.791516,246.9274,1.73E+03,6.90E+02,107.4466541,229.7293875,337.1760417,1813.96,19.10,,,,,,,3.10E+09,1.63E+08,
39,12,60,none,balanced,97.5,2.5,1.874638,0.1884322,1700054000,432994200,197.9774,43.08594,1.874638,241.0632,1.70E+03,4.33E+02,105.6083361,228.654869,334.2632051,1733.53,17.99,,,,,,,3.19E+09,8.16E+07,
40,12,120,none,balanced,2.5,97.5,0.1176616,1.176336,698090800,2695042000,8.428916,292.5684,1.176336,300.9974,6.98E+02,2.70E+03,71.63693168,248.7115926,320.3485243,2762.59,20.58,,,,,,,8.21E+07,3.17E+09,
41,12,120,none,balanced,5,95,0.1944262,1.143996,847197400,2698926000,14.73342,281.668,1.143996,296.4014,8.47E+02,2.70E+03,75.77898452,246.2141476,321.9931321,2840.69,22.14,,,,,,,1.65E+08,3.09E+09,
42,12,120,none,balanced,7.5,92.5,0.2510586,1.124044,985710400,2674442000,19.79238,278.866,1.124044,298.6582,9.86E+02,2.67E+03,78.83569812,248.0917117,326.9274098,2891.11,23.28,,,,,,,2.47E+08,3.01E+09,
43,12,120,none,balanced,10,90,0.2932762,1.129006,1110680000,2592698000,24.66958,281.1088,1.129006,305.7782,1.11E+03,2.59E+03,84.11722465,248.9878707,333.1050954,2878.40,23.62,,,,,,,3.26E+08,2.93E+09,
44,12,120,none,balanced,12.5,87.5,0.3398296,1.076794,1196478000,2640862000,28.20876,268.1622,1.076794,296.3712,1.20E+03,2.64E+03,83.00854311,249.0376061,332.0461492,3017.97,25.02,,,,,,,4.07E+08,2.84E+09,
45,12,120,none,balanced,15,85,0.3916616,1.063906,1244564000,2597188000,32.49438,263.6104,1.063906,296.1048,1.24E+03,2.60E+03,82.96544772,247.7760253,330.741473,3054.53,25.48,,,,,,,4.87E+08,2.76E+09,
46,12,120,none,balanced,17.5,82.5,0.4532502,1.035618,1254900000,2589192000,39.1913,253.751,1.035618,292.9422,1.25E+03,2.59E+03,86.46725363,245.0237443,331.4909979,3137.97,25.08,,,,,,,5.69E+08,2.68E+09,
47,12,120,none,balanced,20,80,0.5135008,1.03435,1266510000,2514048000,43.36672,255.783,1.03435,299.1498,1.27E+03,2.51E+03,84.45307193,247.2886354,331.7417073,3141.81,25.16,,,,,,,6.50E+08,2.60E+09,
48,12,120,none,balanced,22.5,77.5,0.5682974,0.9808356,1286532000,2568206000,47.41184,240.1294,0.9808356,287.5414,1.29E+03,2.57E+03,83.42786717,244.8212524,328.2491196,3313.23,25.91,,,,,,,7.31E+08,2.52E+09,
49,12,120,none,balanced,25,75,0.6259446,0.9838822,1298728000,2477668000,53.05622,240.967,0.9838822,294.023,1.30E+03,2.48E+03,84.76184634,244.9144826,329.676329,3302.97,25.44,,,,,,,8.13E+08,2.44E+09,
50,12,120,none,balanced,27.5,72.5,0.7002182,0.9545032,1278022000,2469226000,60.4243,232.6634,0.9545032,293.0874,1.28E+03,2.47E+03,86.29352965,243.7533997,330.0469293,3404.63,24.94,,,,,,,8.95E+08,2.36E+09,
51,12,120,none,balanced,30,70,0.7339454,0.9410258,1328568000,2417446000,62.55996,230.66,0.9410258,293.22,1.33E+03,2.42E+03,85.23789372,245.1154899,330.3533836,3453.40,25.45,,,,,,,9.75E+08,2.27E+09,
52,12,120,none,balanced,32.5,67.5,0.785916,0.9134524,1343838000,2401212000,70.09906,225.5634,0.9134524,295.6622,1.34E+03,2.40E+03,89.1940869,246.9350346,336.1291215,3557.64,24.79,,,,,,,1.06E+09,2.19E+09,
53,12,120,none,balanced,35,65,0.8558794,0.920547,1328960000,2295650000,71.357,225.201,0.920547,296.5582,1.33E+03,2.30E+03,83.37272751,244.6382423,328.0109698,3530.22,25.32,,,,,,,1.14E+09,2.11E+09,
54,12,120,none,balanced,37.5,62.5,0.9140086,0.889042,1333240000,2285350000,77.04024,215.0792,0.9140086,292.1196,1.33E+03,2.29E+03,84.28830976,241.9224289,326.2107386,3555.47,25.26,,,,,,,1.22E+09,2.03E+09,
55,12,120,none,balanced,40,60,0.9707074,0.887036,1339070000,2198410000,82.07876,217.1488,0.9707074,299.2276,1.34E+03,2.20E+03,84.55561377,244.8026912,329.358305,3347.80,24.82,,,,,,,1.30E+09,1.95E+09,
56,12,120,none,balanced,42.5,57.5,1.031674,0.8601488,1338658000,2173394000,87.91608,212.179,1.031674,300.095,1.34E+03,2.17E+03,85.2169193,246.6770866,331.8940059,3149.96,24.52,,,,,,,1.38E+09,1.87E+09,
57,12,120,none,balanced,45,55,1.090716,0.848197,1340764000,2108626000,93.01914,209.4352,1.090716,302.4542,1.34E+03,2.11E+03,85.28264003,246.9181098,332.2007499,2979.45,24.26,,,,,,,1.46E+09,1.79E+09,
58,12,120,none,balanced,47.5,52.5,1.102908,0.836028,1400054000,2041528000,99.16532,205.5446,1.102908,304.7096,1.40E+03,2.04E+03,89.9125947,245.8585119,335.7711066,2946.51,23.87,,,,,,,1.54E+09,1.71E+09,
59,12,120,none,balanced,50,50,1.186232,0.8247564,1369756000,1970978000,102.7754,205.6694,1.186232,308.4452,1.37E+03,1.97E+03,86.64021878,249.3698745,336.0100933,2739.54,23.71,,,,,,,1.62E+09,1.63E+09,
60,12,120,none,balanced,52.5,47.5,1.2604,0.7869418,1353574000,1962016000,108.5968,199.5686,1.2604,308.1654,1.35E+03,1.96E+03,86.16058394,253.6002027,339.7607867,2578.34,23.45,,,,,,,1.71E+09,1.54E+09,
61,12,120,none,balanced,55,45,1.33144,0.7682514,1343180000,1904264000,117.9432,195.739,1.33144,313.6824,1.34E+03,1.90E+03,88.58318813,254.7850873,343.3682754,2440.77,22.64,,,,,,,1.79E+09,1.46E+09,
62,12,120,none,balanced,57.5,42.5,1.297622,0.7350792,1440636000,1879984000,116.77,184.374,1.297622,301.1446,1.44E+03,1.88E+03,89.98768517,250.8219522,340.8096374,2504.38,23.50,,,,,,,1.87E+09,1.38E+09,
63,12,120,none,balanced,60,40,1.371438,0.6839196,1422960000,1900678000,123.5702,173.1204,1.371438,296.6908,1.42E+03,1.90E+03,90.10265138,253.1297538,343.2324052,2369.58,23.30,,,,,,,1.95E+09,1.30E+09,
64,12,120,none,balanced,62.5,37.5,1.559264,0.667549,1302500000,1827096000,135.0854,169.339,1.559264,304.4242,1.30E+03,1.83E+03,86.63407864,253.6727641,340.3068427,2084.15,22.24,,,,,,,2.03E+09,1.22E+09,
65,12,120,none,balanced,65,35,1.439098,0.628378,1467874000,1810964000,132.6584,156.758,1.439098,289.4162,1.47E+03,1.81E+03,92.18163044,249.4644943,341.6461247,2258.17,23.18,,,,,,,2.11E+09,1.14E+09,
66,12,120,none,balanced,67.5,32.5,1.648034,0.6115506,1331704000,1728614000,143.0056,155.4712,1.648034,298.4768,1.33E+03,1.73E+03,86.77345249,254.2245891,340.9980416,1971.89,22.15,,,,,,,2.19E+09,1.06E+09,
67,12,120,none,balanced,70,30,1.58062,0.5541414,1440176000,1759612000,144.6146,140.443,1.58062,285.0576,1.44E+03,1.76E+03,91.4923258,253.4425329,344.9348587,2055.99,22.68,,,,,,,2.28E+09,9.75E+08,
68,12,120,none,balanced,72.5,27.5,1.630936,0.5247898,1444640000,1703028000,150.2234,131.2724,1.630936,281.4954,1.44E+03,1.70E+03,92.10870322,250.1428191,342.2515223,1992.56,22.49,,,,,,,2.36E+09,8.94E+08,
69,12,120,none,balanced,75,25,1.59451,0.4957682,1530068000,1638640000,154.376,126.7,1.59451,281.076,1.53E+03,1.64E+03,96.81720403,255.5629829,352.3801869,2038.08,22.22,,,,,,,2.44E+09,8.12E+08,
70,12,120,none,balanced,77.5,22.5,1.668472,0.4610686,1510578000,1586398000,164.1706,115.371,1.668472,279.5414,1.51E+03,1.59E+03,98.39577769,250.2252376,348.6210153,1947.73,21.69,,,,,,,2.52E+09,7.31E+08,
71,12,120,none,balanced,80,20,1.694934,0.4246712,1535342000,1530426000,166.3856,104.8548,1.694934,271.2402,1.54E+03,1.53E+03,98.16641828,246.9081963,345.0746145,1917.32,21.84,,,,,,,2.60E+09,6.50E+08,
72,12,120,none,balanced,82.5,17.5,1.746972,0.3931926,1536576000,1446736000,171.9876,96.56318,1.746972,268.5506,1.54E+03,1.45E+03,98.44897342,245.5874805,344.036454,1860.21,21.50,,,,,,,2.68E+09,5.69E+08,
73,12,120,none,balanced,85,15,1.741906,0.3699522,1588672000,1320236000,174.2724,88.76968,1.741906,263.0418,1.59E+03,1.32E+03,100.0469601,239.9490529,339.9960129,1865.62,21.38,,,,,,,2.77E+09,4.88E+08,
74,12,120,none,balanced,87.5,12.5,1.770022,0.3293592,1606744000,1236460000,175.5528,78.24166,1.770022,253.7944,1.61E+03,1.24E+03,99.18114012,237.5572323,336.7383725,1835.99,21.40,,,,,,,2.84E+09,4.07E+08,
75,12,120,none,balanced,90,10,1.825354,0.287692,1607518000,1130154000,185.9494,68.08154,1.825354,254.031,1.61E+03,1.13E+03,101.8703221,236.6473173,338.5176394,1780.33,20.56,,,,,,,2.93E+09,3.25E+08,
76,12,120,none,balanced,92.5,7.5,1.886628,0.254396,1594504000,960481800,192.9988,59.15122,1.886628,252.1498,1.59E+03,9.60E+02,102.2982803,232.5163131,334.8145935,1722.51,19.72,,,,,,,3.01E+09,2.44E+08,
77,12,120,none,balanced,95,5,1.827594,0.2261002,1693166000,724792400,189.6124,52.05842,1.827594,241.671,1.69E+03,7.25E+02,103.7497387,230.2449091,333.9946478,1778.15,19.47,,,,,,,3.09E+09,1.64E+08,
78,12,120,none,balanced,97.5,2.5,1.805428,0.186978,1755034000,436118200,192.4438,43.82742,1.805428,236.271,1.76E+03,4.36E+02,106.5917888,234.3988063,340.990595,1799.98,18.33,,,,,,,3.17E+09,8.15E+07,
79,12,180,none,balanced,2.5,97.5,0.11398502,0.9996302,723523800,3170278000,8.63168,244.4272,0.9996302,253.0588,7.24E+02,3.17E+03,75.72644195,244.5176226,320.2440646,3250.94,22.52,,,,,,,8.25E+07,3.17E+09,
80,12,180,none,balanced,5,95,0.1836562,0.9847574,902543200,3135038000,14.1509,241.112,0.9847574,255.263,9.03E+02,3.14E+03,77.0510334,244.8440601,321.8950935,3300.04,24.52,,,,,,,1.66E+08,3.09E+09,
81,12,180,none,balanced,7.5,92.5,0.2194214,0.9820236,1110748000,3063866000,18.13192,238.6008,0.9820236,256.733,1.11E+03,3.06E+03,82.63514862,242.9684989,325.6036475,3309.22,26.05,,,,,,,2.44E+08,3.01E+09,
82,12,180,none,balanced,10,90,0.30116,0.961219,1084967000,3045754000,24.92688,235.7696,0.961219,260.6966,1.08E+03,3.05E+03,82.76955771,245.2818765,328.0514342,3380.85,25.53,,,,,,,3.27E+08,2.93E+09,
83,12,180,none,balanced,12.5,87.5,0.3364714,0.95785,1207272000,2973890000,28.2539,234.3704,0.95785,262.6246,1.21E+03,2.97E+03,83.97117853,244.6838231,328.6550017,3392.74,26.53,,,,,,,4.06E+08,2.85E+09,
84,12,180,none,balanced,15,85,0.3937868,0.9334794,1237956000,2960448000,32.76314,226.6486,0.9334794,259.4118,1.24E+03,2.96E+03,83.20019869,242.7997875,325.9999862,3481.31,27.07,,,,,,,4.87E+08,2.76E+09,
85,12,180,none,balanced,17.5,82.5,0.4601244,0.9018324,1236208000,2974860000,37.11442,216.6082,0.9018324,253.7228,1.24E+03,2.97E+03,80.66170801,240.1867575,320.8484655,3603.48,27.71,,,,,,,5.69E+08,2.68E+09,
86,12,180,none,balanced,20,80,0.5113186,0.8600978,1271070000,3023156000,42.3178,210.5,0.8600978,252.8176,1.27E+03,3.02E+03,82.76209784,244.7396098,327.5017077,3778.33,27.71,,,,,,,6.50E+08,2.60E+09,
87,12,180,none,balanced,22.5,77.5,0.5752104,0.8571278,1271618000,2939062000,48.5051,207.9384,0.8571278,256.4438,1.27E+03,2.94E+03,84.32583973,242.5990617,326.9249014,3791.42,27.19,,,,,,,7.31E+08,2.52E+09,
88,12,180,none,balanced,25,75,0.6221118,0.8323212,1305836000,2928254000,53.12624,198.7608,0.8323212,251.887,1.31E+03,2.93E+03,85.39661199,238.8030006,324.1996126,3904.42,27.55,,,,,,,8.12E+08,2.44E+09,
89,12,180,none,balanced,27.5,72.5,0.6840238,0.8323688,1306896000,2831090000,57.69812,201.3338,0.8323688,259.032,1.31E+03,2.83E+03,84.35104159,241.8805222,326.2315638,3904.20,27.20,,,,,,,8.94E+08,2.36E+09,
90,12,180,none,balanced,30,70,0.7401188,0.8336872,1317188000,2733340000,64.22604,203.0724,0.8336872,267.2984,1.32E+03,2.73E+03,86.77801456,243.5834447,330.3614593,3898.03,26.40,,,,,,,9.75E+08,2.28E+09,
91,12,180,none,balanced,32.5,67.5,0.788054,0.8029164,1340220000,2733556000,68.83878,196.904,0.8058342,265.7424,1.34E+03,2.73E+03,87.35287176,245.2359922,332.5888639,4032.76,26.49,,,,,,,1.06E+09,2.19E+09,
92,12,180,none,balanced,35,65,0.8584324,0.766537,1324968000,2755552000,71.10426,186.3004,0.8584324,257.4046,1.32E+03,2.76E+03,82.83035449,243.0416275,325.871982,3785.66,27.33,,,,,,,1.14E+09,2.11E+09,
93,12,180,none,balanced,37.5,62.5,0.91753,0.7825796,1328292000,2600660000,78.03576,189.1586,0.91753,267.1946,1.33E+03,2.60E+03,85.04981853,241.7116419,326.7614604,3541.83,26.38,,,,,,,1.22E+09,2.04E+09,
94,12,180,none,balanced,40,60,0.9706796,0.7458814,1339156000,2614162000,82.3745,180.1326,0.9706796,262.5068,1.34E+03,2.61E+03,84.86270856,241.5030057,326.3657143,3347.90,26.60,,,,,,,1.30E+09,1.95E+09,
95,12,180,none,balanced,42.5,57.5,1.032436,0.7683778,1337762000,2436434000,90.39476,186.9994,1.032436,277.394,1.34E+03,2.44E+03,87.55483149,243.3690822,330.9239137,3147.64,25.29,,,,,,,1.38E+09,1.87E+09,
96,12,180,none,balanced,45,55,1.100588,0.7512366,1329588000,2384758000,94.89918,185.9112,1.100588,280.8106,1.33E+03,2.38E+03,86.22589016,247.4735656,333.6994557,2952.73,25.06,,,,,,,1.46E+09,1.79E+09,
97,12,180,none,balanced,47.5,52.5,1.11081,0.7256618,1390130000,2353740000,97.52146,181.5816,1.11081,279.103,1.39E+03,2.35E+03,87.79310593,250.2289634,338.0220693,2925.55,25.24,,,,,,,1.54E+09,1.71E+09,
98,12,180,none,balanced,50,50,1.149436,0.7112742,1414680000,2284368000,104.33632,178.0134,1.149436,282.3498,1.41E+03,2.28E+03,90.77175241,250.273945,341.0456974,2827.24,24.71,,,,,,,1.63E+09,1.62E+09,
99,12,180,none,balanced,52.5,47.5,1.275088,0.7216566,1338168000,2143710000,109.0716,184.0134,1.275088,293.085,1.34E+03,2.14E+03,85.54044897,254.987483,340.5279319,2548.64,24.05,,,,,,,1.71E+09,1.55E+09,
100,12,180,none,balanced,55,45,1.317802,0.6713378,1360310000,2180346000,121.2144,172.3666,1.317802,293.5812,1.36E+03,2.18E+03,91.9822553,256.7509233,348.7331786,2466.03,23.28,,,,,,,1.79E+09,1.46E+09,
101,12,180,none,balanced,57.5,42.5,1.2673916,0.6521768,1499770000,2118594000,113.38778,165.7932,1.2673916,279.181,1.50E+03,2.12E+03,89.46546592,254.2151147,343.6805806,2564.11,25.10,,,,,,,1.90E+09,1.38E+09,
102,12,180,none,balanced,60,40,1.409752,0.6116862,1383290000,2126312000,127.2684,156.428,1.409752,283.6966,1.38E+03,2.13E+03,90.27715513,255.7324327,346.0095879,2305.18,23.64,,,,,,,1.95E+09,1.30E+09,
103,12,180,none,balanced,62.5,37.5,1.506242,0.581828,1350310000,2094526000,131.5674,150.5338,1.506242,282.1012,1.35E+03,2.09E+03,87.34811538,258.7256028,346.0737181,2157.51,23.55,,,,,,,2.03E+09,1.22E+09,
104,12,180,none,balanced,65,35,1.387926,0.564207,1545174000,2018844000,132.424,143.6542,1.387926,276.0784,1.55E+03,2.02E+03,95.41142683,254.6125801,350.024007,2341.43,24.12,,,,,,,2.14E+09,1.14E+09,
105,12,180,none,balanced,67.5,32.5,1.630372,0.533102,1345602000,1981072000,140.9724,137.4644,1.630372,278.4368,1.35E+03,1.98E+03,86.46640153,257.8575957,344.3239973,1993.25,23.24,,,,,,,2.19E+09,1.06E+09,
106,12,180,none,balanced,70,30,1.571088,0.5142072,1448132000,1897374000,144.2886,131.2314,1.571088,275.5204,1.45E+03,1.90E+03,91.8399224,255.2111289,347.0510513,2068.46,23.20,,,,,,,2.28E+09,9.76E+08,
107,12,180,none,balanced,72.5,27.5,1.636916,0.5117498,1439478000,1753968000,148.3114,128.343,1.636916,276.6546,1.44E+03,1.75E+03,90.60416051,250.7924771,341.3966376,1985.28,22.88,,,,,,,2.36E+09,8.98E+08,
108,12,180,none,balanced,75,25,1.808116,0.4483502,1347908000,1812296000,167.1114,112.661,1.808116,279.7728,1.35E+03,1.81E+03,92.42294189,251.2790225,343.7019644,1797.30,21.80,,,,,,,2.44E+09,8.13E+08,
109,12,180,none,balanced,77.5,22.5,1.76783,0.4250988,1426670000,1722676000,168.3786,107.4224,1.76783,275.801,1.43E+03,1.72E+03,95.24592297,252.699843,347.9457659,1838.26,21.80,,,,,,,2.52E+09,7.32E+08,
110,12,180,none,balanced,80,20,1.6814,0.3952872,1548994000,1644674000,163.7788,99.17286,1.6814,262.9516,1.55E+03,1.64E+03,97.40620911,250.8881138,348.2943229,1932.76,22.46,,,,,,,2.60E+09,6.50E+08,
111,12,180,none,balanced,82.5,17.5,1.746216,0.3815432,1539512000,1499566000,171.3174,95.3415,1.746216,266.6588,1.54E+03,1.50E+03,98.10779422,249.8838926,347.9916868,1861.02,21.69,,,,,,,2.69E+09,5.72E+08,
112,12,180,none,balanced,85,15,1.800336,0.3518002,1535432000,1386070000,179.8816,87.03786,1.800336,266.9194,1.54E+03,1.39E+03,99.91557132,247.4070794,347.3226507,1805.07,20.97,,,,,,,2.76E+09,4.88E+08,
113,12,180,none,balanced,87.5,12.5,1.714788,0.3456848,1659094000,1181784000,175.5338,85.01646,1.714788,260.5504,1.66E+03,1.18E+03,102.3647238,245.9363559,348.3010797,1895.12,21.01,,,,,,,2.84E+09,4.09E+08,
114,12,180,none,balanced,90,10,1.844584,0.2940866,1594328000,1104998000,185.319,69.96356,1.844584,255.2824,1.59E+03,1.10E+03,100.4665551,237.9012169,338.3677719,1761.77,20.51,,,,,,,2.94E+09,3.25E+08,
